상품명,이미지_URL,가격
양파 (1개),https://www.livesnews.com/data/photos/20210831/art_16278951020482_c6e72e.bmp,800
양파 (3개),https://thumb.photo-ac.com/23/2310e6bc4196a6e1438fe5824320557b_t.jpeg,2000
감자 (2개),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIt9HL6fSoJlNxmwv730iUqf4br1gWuPlHbA&s,1500
당근 (1개),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgU3vEZ6MTEiPq6vCq45ChdEFXgecFGSwlHA&s,1000
돼지고기,https://img.freepik.com/free-photo/pork-belly-pan-with-pepper-seeds-tomatoes-spices_1150-22016.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,2000
소고기,https://img.freepik.com/free-photo/pieces-raw-fresh-meat-isolated-black-stone-board-side_346278-821.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,8000
카레가루,https://image.utoimage.com/preview/cp907097/2020/06/202006037398_500.jpg,2500
햇반,https://paxetv.com/news/photo/202308/183799_159356_2047.jpg,1300
식용유,https://img.danawa.com/prod_img/large/group_868/434407_1.jpg?_v=20200910162546,2500
마늘 (다진),https://img.freepik.com/free-vector/3d-realistic-garlic-head-whole-vegetable-garlic-cloves-lobules-shuck-peelings_1441-2246.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1200
여권 케이스,https://mblogthumb-phinf.pstatic.net/MjAyMzA1MTJfMjQ5/MDAxNjgzODcwMTE0Mjk0.K6jvKbr3YI9JvkF0f_UdIh-_5QGc007d9uOB8nG3DMIg.POdKx-A-3fpWxQww34eDIg2-lvjJ5SXBF3SVHkStkYwg.JPEG.cham4lang1/%EC%97%AC%EA%B6%8C%EC%BC%80%EC%9D%B4%EC%8A%A4_(3).jpg?type=w800,5000
여행 손가방,https://cdn.daisomall.co.kr/file/PD/20240826/5iRd6WIpXGDdrBhsUjTi1047322_00_005iRd6WIpXGDdrBhsUjTi.jpg/dims/resize/750/optimize,5000
칫솔,https://cdn.011st.com/11dims/resize/1000x1000/quality/75/11src/product/4561316095/B.jpg?83000000,1000
치약,https://cdn.daisomall.co.kr/file/PD/20250319/1ggnPDkKCkDoN90WYryG1044427_00_011ggnPDkKCkDoN90WYryG.jpg/dims/resize/750/optimize,1500
세면도구 세트,https://www.onoffmarket.com/data/item/202401/1706659846_l1,5000
물티슈,https://img.freepik.com/premium-psd/wet-wipes-mockup_592453-614.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,2000
보조배터리,https://www.urbanbrush.net/web/wp-content/uploads/edd/2025/02/UB-202502080858.jpg,15000
귀마개,https://img.freepik.com/premium-photo/set-colored-earplugs-white-background-reusable-silicone-rubber-ear-plug-cord-against-noise-protect-hear-swim-sleep-rest-creative-aesthetic-flat-lay-view-pastel-tones_99432-11469.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,1000
슬리퍼,https://img.freepik.com/free-photo/white-sandals-summer-footwear-fashion_53876-104478.jpg?ga=GA1.1.426326816.1750134496&semt=ais_hybrid&w=740,5000
김밥,https://img.freepik.com/premium-vector/gimbap-kimbap-vector-illustration-logo_499212-1770.jpg?semt=ais_hybrid&w=740,3000
